建立者,時間,更新者,更新時,經過,代碼,名稱,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,最高價,最低價,參考價,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"GetStockByNoLONG","2022/03/23 21:40:53.931356","OnNotifyQuote","2022/03/23 21:40:54.019377","07:21:49","TSEA","加權指","000000.000000","17731.37","764","171.66","0.98","0.00","0","0.00","0","17581.62","17738.69","17581.62","17559.71","0","284327","20220323","19315.68","15803.74","30365","-1","0","2","236138"
"GetStockByNoLONG","2022/03/23 21:40:53.932693","OnNotifyQuote","2022/03/23 21:40:54.004470","07:21:49","0050","元大台灣50","000000.000000","138.10","19","1.30","0.95","138.10","5","138.15","143","137.60","138.35","137.55","136.80","0","10253","20220323","150.45","123.15","0","-1","0","2","6041"
"GetStockByNoLONG","2022/03/23 21:40:53.936686","OnNotifyQuote","2022/03/23 21:40:53.993362","07:21:49","00632R","元大台灣50反1","000000.000000","5.20","240","-0.05","-0.95","5.19","25636","5.20","17785","5.21","5.22","5.18","5.25","0","141556","20220323","5.77","4.73","17","-1","0","2","101856"
"GetStockByNoLONG","2022/03/23 21:40:53.937396","OnNotifyQuote","2022/03/23 21:40:54.019377","07:21:49","2330","台積電","000000.000000","590.00","51","7.00","1.20","589.00","49","590.00","343","590.00","590.00","586.00","583.00","0","25844","20220323","641.00","525.00","29522","-1","0","2","20209"
"GetStockByNoLONG","2022/03/23 21:40:53.938476","OnNotifyQuote","2022/03/24 04:58:59.483633","00:03:43","UD06","道瓊06","045859.673000","34222.00","1","-542.00","-1.56","34214.00","2","34270.00","1","34746.00","34746.00","34215.00","34764.00","0","1714","20220324","37197.00","32331.00","44","0","2","2","1981"
"GetStockByNoLONG","2022/03/23 21:40:53.939475","OnNotifyQuote","2022/03/24 04:59:58.342635","00:02:45","UN2206","那斯達克2206","045502.057000","14464.00","1","-202.00","-1.38","14464.00","1","14468.00","1","14651.00","14679.00","14445.00","14666.00","0","3914","20220324","15692.00","13640.00","49","1","2","2","3844"
"GetStockByNoLONG","2022/03/23 21:40:53.940355","OnNotifyQuote","2022/03/24 04:59:59.559839","00:02:43","TX04","台指04","045957.217000","17578.00","1","-121.00","-0.68","17571.00","2","17579.00","6","17692.00","17700.00","17547.00","17699.00","0","51359","20220324","19468.00","15930.00","1","2","2","2","133861"
"GetStockByNoLONG","2022/03/23 21:40:53.941750","OnNotifyQuote","2022/03/24 04:59:59.559839","00:02:43","TX05","台指05","044952.589000","17520.00","1","-147.00","-0.83","17539.00","2","17549.00","9","17656.00","17659.00","17516.00","17667.00","0","479","20220324","19433.00","15901.00","2","3","2","2","1295"
"GetStockByNoLONG","2022/03/23 21:40:53.942620","OnNotifyQuote","2022/03/24 04:59:59.349649","00:02:44","MTX04","小台04","045959.799000","17577.00","2","-122.00","-0.69","17571.00","3","17577.00","1","17699.00","17700.00","17547.00","17699.00","0","119060","20220324","19468.00","15930.00","8","4","2","2","237691"
"GetStockByNoLONG","2022/03/23 21:40:53.943497","OnNotifyQuote","2022/03/24 04:59:59.334831","00:02:44","MTX05","小台05","045951.175000","17544.00","1","-123.00","-0.70","17540.00","1","17548.00","2","17663.00","17663.00","17518.00","17667.00","0","3908","20220324","19433.00","15901.00","9","5","2","2","8189"
