建立者,時間,更新者,更新時,經過,代碼,名稱,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,最低價,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"GetStockByNoLONG","2022/03/25 19:00:01.030456","OnNotifyQuote","2022/03/25 19:00:01.061509","10:02:20","TSEA","加權指","000000.000000","17676.95","796","-22.11","-0.12","0.00","0","0.00","0","17695.80","-3.26","17747.13","17633.86","17699.06","17699.06","-3.26","0","286927","20220325","19468.97","15929.15","30168","-1","0","2","263380"
"GetStockByNoLONG","2022/03/25 19:00:01.030456","OnNotifyQuote","2022/03/25 19:00:01.061509","10:02:20","0050","元大台灣50","000000.000000","138.20","7","0.20","0.14","138.20","217","138.25","168","138.40","0.40","138.50","137.90","138.00","138.00","0.40","0","4854","20220325","151.80","124.20","0","-1","0","2","4265"
"GetStockByNoLONG","2022/03/25 19:00:01.030456","OnNotifyQuote","2022/03/25 19:00:01.061509","10:02:20","00632R","元大台灣50反1","000000.000000","5.20","12","0.00","0.00","5.20","22567","5.21","376","5.19","-0.01","5.23","5.19","5.20","5.20","-0.01","0","56781","20220325","5.72","4.68","17","-1","0","2","85795"
"GetStockByNoLONG","2022/03/25 19:00:01.030456","OnNotifyQuote","2022/03/25 19:00:01.061509","10:02:20","2330","台積電","000000.000000","598.00","37","7.00","1.18","597.00","14","598.00","1760","597.00","6.00","598.00","595.00","591.00","591.00","6.00","0","26079","20220325","650.00","532.00","29326","-1","0","2","20021"
"GetStockByNoLONG","2022/03/25 19:00:01.030456","OnNotifyQuote","2022/03/26 04:58:26.669451","00:03:54","UD06","道瓊06","045641.719000","34760.00","1","136.00","0.39","34710.00","1","34750.00","1","34651.00","27.00","34838.00","34533.00","34624.00","34613.00","38.00","0","1474","20220328","37047.00","32201.00","42","0","2","2","1885"
"GetStockByNoLONG","2022/03/25 19:00:01.030456","OnNotifyQuote","2022/03/26 04:59:43.805871","00:02:37","UN2206","那斯達克2206","045944.380000","14753.00","1","-17.00","-0.12","14739.00","1","14759.00","1","14783.00","13.00","14838.00","14577.00","14770.00","14770.00","13.00","0","3299","20220328","15803.00","13737.00","47","1","2","2","3840"
"GetStockByNoLONG","2022/03/25 19:00:01.030456","OnNotifyQuote","2022/03/26 04:59:58.541395","00:02:22","TX04","台指04","045958.352000","17613.00","1","-8.00","-0.05","17611.00","1","17613.00","1","17630.00","9.00","17661.00","17538.00","17621.00","17621.00","9.00","0","51844","20220328","19383.00","15859.00","1","2","2","2","132172"
"GetStockByNoLONG","2022/03/25 19:00:01.030456","OnNotifyQuote","2022/03/26 04:59:58.541395","00:02:22","TX05","台指05","045612.929000","17588.00","1","-4.00","-0.02","17581.00","1","17586.00","1","17600.00","8.00","17630.00","17510.00","17592.00","17591.00","9.00","0","460","20220328","19351.00","15833.00","2","3","2","2","1116"
"GetStockByNoLONG","2022/03/25 19:00:01.030456","OnNotifyQuote","2022/03/26 04:59:56.556037","00:02:24","MTX04","小台04","045957.163000","17609.00","2","-12.00","-0.07","17609.00","1","17612.00","1","17626.00","5.00","17661.00","17538.00","17621.00","17620.00","6.00","0","115767","20220328","19383.00","15859.00","8","4","2","2","254224"
"GetStockByNoLONG","2022/03/25 19:00:01.030456","OnNotifyQuote","2022/03/26 04:59:56.542748","00:02:24","MTX05","小台05","045930.887000","17586.00","1","-6.00","-0.03","17578.00","1","17585.00","1","17597.00","5.00","17629.00","17511.00","17592.00","17591.00","6.00","0","2782","20220328","19351.00","15833.00","9","5","2","2","7058"
