建立者,時間,更新者,更新時,經過,代碼,名稱,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,最低價,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"GetStockByNoLONG","2022/03/28 13:00:48.992800","OnNotifyQuote","2022/03/28 13:33:15.262564","00:14:55","TSEA","加權指","000000.000000","17520.01","14189","-156.94","-0.89","0.00","0","0.00","0","17510.15","-166.80","17527.15","17368.66","158.49","17676.95","0.00","0.00","0","234770","20220328","19444.64","15909.26","30180","-1","0","2","286927"
"GetStockByNoLONG","2022/03/28 13:00:48.993800","OnNotifyQuote","2022/03/28 13:45:00.640388","00:03:09","0050","元大台灣50","000000.000000","136.70","239","-1.50","-1.09","136.65","2","136.70","227","137.00","-1.20","137.00","135.55","1.45","138.20","0.00","0.00","0","10405","20220328","152.00","124.40","0","-1","0","2","4854"
"GetStockByNoLONG","2022/03/28 13:00:48.993800","OnNotifyQuote","2022/03/28 13:45:00.790081","00:03:09","00632R","元大台灣50反1","000000.000000","5.25","5338","0.05","0.96","5.25","15567","5.26","11262","5.27","0.07","5.31","5.24","0.07","5.20","0.00","0.00","0","130487","20220328","5.72","4.68","17","-1","0","2","56781"
"GetStockByNoLONG","2022/03/28 13:00:48.993800","OnNotifyQuote","2022/03/28 13:45:09.439201","00:03:00","2330","台積電","000000.000000","584.00","2821","-14.00","-2.34","584.00","282","585.00","136","581.00","-17.00","586.00","580.00","6.00","598.00","0.00","0.00","0","26213","20220328","657.00","539.00","29337","-1","0","2","26079"
"GetStockByNoLONG","2022/03/28 13:00:48.994800","OnNotifyQuote","2022/03/28 13:44:40.875774","00:03:29","UD06","道瓊06","134201.845000","34635.00","1","11.00","0.03","34631.00","1","34658.00","1","0.00","0.00","0.00","0.00","0.00","34624.00","0.00","0.00","0","1720","20220328","37047.00","32201.00","42","0","2","2","288"
"GetStockByNoLONG","2022/03/28 13:00:48.994800","OnNotifyQuote","2022/03/28 13:44:58.250446","00:03:12","UN2206","那斯達克2206","134433.287000","14669.00","1","-101.00","-0.68","14669.00","3","14699.00","1","0.00","0.00","0.00","0.00","0.00","14770.00","0.00","0.00","0","4135","20220328","15803.00","13737.00","47","1","2","2","758"
"GetStockByNoLONG","2022/03/28 13:00:48.995801","OnNotifyQuote","2022/03/28 13:44:59.889763","00:03:10","TX04","台指04","134459.940000","17438.00","2","-183.00","-1.04","17437.00","5","17439.00","3","0.00","0.00","0.00","0.00","0.00","17621.00","0.00","0.00","0","169391","20220328","19383.00","15859.00","1","2","2","2","83057"
"GetStockByNoLONG","2022/03/28 13:00:48.995801","OnNotifyQuote","2022/03/28 13:44:59.877351","00:03:10","TX05","台指05","134441.255000","17409.00","1","-183.00","-1.04","17408.00","5","17411.00","3","0.00","0.00","0.00","0.00","0.00","17592.00","0.00","0.00","0","1677","20220328","19351.00","15833.00","2","3","2","2","597"
"GetStockByNoLONG","2022/03/28 13:00:48.995801","OnNotifyQuote","2022/03/28 13:44:59.871151","00:03:10","MTX04","小台04","134459.946000","17440.00","1","-181.00","-1.03","17438.00","5","17440.00","15","0.00","0.00","0.00","0.00","0.00","17621.00","0.00","0.00","0","329228","20220328","19383.00","15859.00","8","4","2","2","151289"
"GetStockByNoLONG","2022/03/28 13:00:48.996801","OnNotifyQuote","2022/03/28 13:44:59.630485","00:03:10","MTX05","小台05","134451.875000","17411.00","1","-181.00","-1.03","17409.00","5","17413.00","3","0.00","0.00","0.00","0.00","0.00","17592.00","0.00","0.00","0","8992","20220328","19351.00","15833.00","9","5","2","2","4053"
