建立者,時間,更新者,更新時,經過,代碼,名稱,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"GetStockByNoLONG","2022/03/31 10:59:51.912334","OnNotifyQuote","2022/03/31 13:33:15.836096","00:15:29","TSEA","加權指","000000.000000","17693.47","29100","-47.09","-0.27","0.00","0","0.00","0","17754.10","13.54","17767.81","-74.34","17682.53","10.94","85.28","17740.56","17740.56","13.54","0","227050","20220331","19514.62","15966.50","30389","-1","0","2","298044"
"GetStockByNoLONG","2022/03/31 10:59:51.914298","OnNotifyQuote","2022/03/31 13:45:00.550095","00:03:44","0050","元大台灣50","000000.000000","138.10","113","-0.45","-0.32","138.10","6","138.15","114","138.55","0.00","138.65","-0.55","138.10","0.00","0.55","138.55","138.55","0.00","0","3508","20220331","152.40","124.70","0","-1","0","2","8147"
"GetStockByNoLONG","2022/03/31 10:59:51.915394","OnNotifyQuote","2022/03/31 13:45:00.700782","00:03:44","00632R","元大台灣50反1","000000.000000","5.21","5922","0.02","0.39","5.20","11166","5.21","17342","5.17","-0.02","5.21","0.00","5.17","0.04","0.04","5.19","5.19","-0.02","0","76757","20220331","5.70","4.68","17","-1","0","2","158508"
"GetStockByNoLONG","2022/03/31 10:59:51.918127","OnNotifyQuote","2022/03/31 13:45:09.349859","00:03:35","2330","台積電","000000.000000","597.00","8860","-3.00","-0.50","596.00","32","597.00","303","602.00","2.00","602.00","-5.00","594.00","3.00","8.00","600.00","600.00","2.00","0","22639","20220331","660.00","540.00","29545","-1","0","2","41194"
"GetStockByNoLONG","2022/03/31 10:59:51.919335","OnNotifyQuote","2022/03/31 13:44:35.651170","00:04:09","UD06","道瓊06","134435.718000","35132.00","1","-26.00","-0.07","35117.00","1","35185.00","2","35190.00","32.00","35212.00","-80.00","35114.00","18.00","98.00","35158.00","35081.00","109.00","0","1725","20220331","37619.00","32697.00","4211","0","2","2","199"
"GetStockByNoLONG","2022/03/31 10:59:51.920230","OnNotifyQuote","2022/03/31 13:44:46.650306","00:03:58","UN2206","那斯達克2206","134446.645000","15120.00","1","-106.00","-0.70","15112.00","1","15136.00","5","15155.00","-71.00","15161.00","-41.00","15120.00","0.00","41.00","15226.00","15100.00","55.00","0","4153","20220331","16291.00","14161.00","4216","1","2","2","839"
"GetStockByNoLONG","2022/03/31 10:59:51.921221","OnNotifyQuote","2022/03/31 13:44:59.899770","00:03:45","TX04","台指04","134459.990000","17639.00","1","-101.00","-0.57","17636.00","11","17640.00","6","17747.00","7.00","17774.00","-135.00","17623.00","16.00","151.00","17740.00","17681.00","66.00","0","120960","20220331","19514.00","15966.00","4170","2","2","2","89837"
"GetStockByNoLONG","2022/03/31 10:59:51.922084","OnNotifyQuote","2022/03/31 13:44:59.894787","00:03:45","TX05","台指05","134444.421000","17606.00","1","-104.00","-0.59","17606.00","11","17613.00","6","17697.00","-13.00","17744.00","-138.00","17597.00","9.00","147.00","17710.00","17650.00","47.00","0","1321","20220331","19481.00","15939.00","4171","3","2","2","840"
"GetStockByNoLONG","2022/03/31 10:59:51.922084","OnNotifyQuote","2022/03/31 13:44:59.899770","00:03:45","MTX04","小台04","134459.902000","17635.00","1","-105.00","-0.59","17635.00","6","17637.00","4","17725.00","-15.00","17774.00","-139.00","17623.00","12.00","151.00","17740.00","17680.00","45.00","0","232791","20220331","19514.00","15966.00","4177","4","2","2","155182"
"GetStockByNoLONG","2022/03/31 10:59:51.923140","OnNotifyQuote","2022/03/31 13:44:59.893757","00:03:45","MTX05","小台05","134455.231000","17604.00","1","-106.00","-0.60","17604.00","6","17610.00","5","17697.00","-13.00","17742.00","-138.00","17596.00","8.00","146.00","17710.00","17651.00","46.00","0","7953","20220331","19481.00","15939.00","4178","5","2","2","5409"
