建立者,時間,更新者,更新時,代碼,名稱,成交時分秒,成交毫秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"CreateQuote","2022/04/06 21:44:49.850486","UpdateQuote","2022/04/06 21:44:49.928953","TSEA","加權指","000000","000000","000000.0000","17522.50","666","-103.09","-0.58","0.00","0","0.00","0","17484.19","-141.40","17528.99","-6.49","17381.07","141.43","147.92","17625.59","17625.59","-141.40","0","262536","20220406","19388.15","15863.03","29849","-1","0","2","229376"
"CreateQuote","2022/04/06 21:44:49.850486","UpdateQuote","2022/04/06 21:44:49.928953","0050","元大台灣50","000000","000000","000000.0000","136.25","23","-0.70","-0.51","136.20","123","136.25","74","135.25","-1.70","136.35","-0.10","135.00","1.25","1.35","136.95","136.95","-1.70","0","11544","20220406","150.60","123.30","0","-1","0","2","7683"
"CreateQuote","2022/04/06 21:44:49.850486","UpdateQuote","2022/04/06 21:44:49.928953","00632R","元大台灣50反1","000000","000000","000000.0000","5.25","148","0.02","0.38","5.25","13837","5.26","13214","5.28","0.05","5.30","-0.05","5.24","0.01","0.06","5.23","5.23","0.05","0","86794","20220406","5.75","4.71","17","-1","0","2","95515"
"CreateQuote","2022/04/06 21:44:49.850486","UpdateQuote","2022/04/07 04:59:57.707420","TX06","台指06","000000","000000","000000.0000","17338.00","1","-106.00","-0.61","17341.00","1","17347.00","1","17436.00","-8.00","17444.00","-106.00","17285.00","53.00","159.00","17444.00","0.00","0.00","0","86","20220407","19188.00","15700.00","4180","-1","2","2","134"
"CreateQuote","2022/04/06 21:44:49.850486","UpdateQuote","2022/04/07 04:59:58.957615","MTX06","小台06","000000","000000","000000.0000","17347.00","2","-97.00","-0.56","17339.00","1","17348.00","3","17445.00","1.00","17450.00","-103.00","17280.00","67.00","170.00","17444.00","0.00","0.00","0","526","20220407","19188.00","15700.00","4187","-1","2","2","1112"
"CreateQuote","2022/04/06 21:44:49.850486","UpdateQuote","2022/04/06 21:44:49.928953","2330","台積電","000000","000000","000000.0000","578.00","86","-11.00","-1.87","578.00","83","579.00","65","578.00","-11.00","580.00","-2.00","575.00","3.00","5.00","589.00","589.00","-11.00","0","37585","20220406","647.00","531.00","29004","-1","0","2","29679"
"CreateQuote","2022/04/06 21:44:49.850486","UpdateQuote","2022/04/07 04:59:31.581600","UD06","道瓊06","045901","403000","045901.4030","34350.00","2","-217.00","-0.63","34350.00","3","34428.00","1","34579.00","12.00","34608.00","-258.00","34191.00","159.00","417.00","34567.00","34565.00","14.00","0","1791","20220407","36986.00","32148.00","4221","0","2","2","1852"
"CreateQuote","2022/04/06 21:44:49.850486","UpdateQuote","2022/04/07 04:59:58.706415","UN2206","那斯達克2206","045934","473000","045934.4730","14504.00","2","-317.00","-2.14","14493.00","1","14504.00","1","14840.00","19.00","14840.00","-336.00","14409.00","95.00","431.00","14821.00","14821.00","19.00","0","6145","20220407","15858.00","13784.00","4226","1","2","2","4016"
"CreateQuote","2022/04/06 21:44:49.850486","UpdateQuote","2022/04/07 04:59:57.707420","TX05","台指05","045915","410000","045915.4100","17380.00","1","-100.00","-0.57","17376.00","3","17381.00","1","17476.00","-4.00","17486.00","-106.00","17312.00","68.00","174.00","17480.00","17483.00","-7.00","0","876","20220407","19228.00","15732.00","4179","2","2","2","1350"
"CreateQuote","2022/04/06 21:44:49.850486","UpdateQuote","2022/04/07 04:59:58.332424","MTX05","小台05","045937","912000","045937.9120","17379.00","1","-101.00","-0.58","17374.00","1","17380.00","3","17485.00","5.00","17493.00","-114.00","17313.00","66.00","180.00","17480.00","17479.00","6.00","0","4630","20220407","19228.00","15732.00","4186","3","2","2","8336"
