建立者,時間,更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"CreateQuote","2022/04/18 16:32:18.210656","UpdateQuote","2022/04/18 16:32:18.243023","TSEA","加權指","000000","000000","000000.000000","16898.87","561","-105.31","-0.62","0.00","0","0.00","0","16958.66","-45.52","16999.36","-100.49","16845.51","53.36","153.85","17004.18","17004.18","-45.52","0","229361","20220418","18704.60","15303.76","30264","-1","0","2","268913"
"CreateQuote","2022/04/18 16:32:18.210656","UpdateQuote","2022/04/18 16:32:18.238022","0050","元大台灣50","000000","000000","000000.000000","131.55","52","-0.70","-0.53","131.55","176","131.60","222","132.00","-0.25","132.25","-0.70","131.15","0.40","1.10","132.25","132.25","-0.25","0","17915","20220418","145.45","119.05","0","-1","0","2","20628"
"CreateQuote","2022/04/18 16:32:18.211656","UpdateQuote","2022/04/18 16:32:18.238022","00632R","元大台灣50反1","000000","000000","000000.000000","5.43","82","0.03","0.56","5.43","692","5.44","17425","5.43","0.03","5.45","-0.02","5.39","0.04","0.06","5.40","5.40","0.03","0","127261","20220418","5.94","4.86","17","-1","0","2","191899"
"CreateQuote","2022/04/18 16:32:18.211656","UpdateQuote","2022/04/19 04:57:13.755841","UN2206","那斯達克2206","000000","000000","000000.000000","13968.00","1","198.00","1.44","13921.00","1","13960.00","1","13783.00","13.00","14004.00","-36.00","13775.00","193.00","229.00","13770.00","13780.00","3.00","0","3192","20220419","14867.00","12923.00","4206","-1","2","2","510"
"CreateQuote","2022/04/18 16:32:18.212656","UpdateQuote","2022/04/19 04:59:46.378758","TX06","台指06","000000","000000","000000.000000","16935.00","1","124.00","0.74","16931.00","1","16935.00","1","16817.00","6.00","16995.00","-60.00","16814.00","121.00","181.00","16811.00","16811.00","6.00","0","93","20220419","18606.00","15224.00","4164","-1","2","2","165"
"CreateQuote","2022/04/18 16:32:18.212656","UpdateQuote","2022/04/19 04:59:58.502707","MTX06","小台06","000000","000000","000000.000000","16933.00","1","122.00","0.73","16930.00","1","16935.00","5","16807.00","-4.00","16995.00","-62.00","16804.00","129.00","191.00","16811.00","16807.00","0.00","0","993","20220419","18606.00","15224.00","4171","-1","2","2","1594"
"CreateQuote","2022/04/18 16:32:18.212656","UpdateQuote","2022/04/18 16:32:18.238022","2330","台積電","000000","000000","000000.000000","561.00","31","-1.00","-0.18","561.00","137","562.00","674","559.00","-3.00","566.00","-5.00","558.00","3.00","8.00","562.00","562.00","-3.00","0","15724","20220418","618.00","506.00","29420","-1","0","2","28129"
"CreateQuote","2022/04/18 16:32:18.214021","UpdateQuote","2022/04/19 04:59:00.415161","UD06","道瓊06","045901","172000","045901.172000","34372.00","1","99.00","0.29","34371.00","1","34408.00","1","34312.00","39.00","34530.00","-158.00","34186.00","186.00","344.00","34273.00","34265.00","47.00","0","6702","20220419","36765.00","31955.00","4201","0","2","2","345"
"CreateQuote","2022/04/18 16:32:18.214021","UpdateQuote","2022/04/19 04:59:46.378758","TX05","台指05","045928","415000","045928.415000","16969.00","14","122.00","0.72","16970.00","1","16972.00","1","16855.00","8.00","17035.00","-66.00","16843.00","126.00","192.00","16847.00","16845.00","10.00","0","6330","20220419","18641.00","15253.00","4163","1","2","2","12597"
"CreateQuote","2022/04/18 16:32:18.215015","UpdateQuote","2022/04/19 04:59:58.515167","MTX05","小台05","045959","251000","045959.251000","16970.00","1","123.00","0.73","16970.00","1","16971.00","3","16849.00","2.00","17033.00","-63.00","16843.00","127.00","190.00","16847.00","16844.00","5.00","0","16280","20220419","18641.00","15253.00","4170","2","2","2","24810"
