建立者,時間,更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,筆數,索引,Page,市場,小數位數,昨量
"CreateOrUpdate","2022/05/17 18:43:38.163519","Update","2022/05/17 18:43:38.256637","TSEA","加權指","000000","000000","000000.000000","16056.09","517","155.05","0.98","0.00","0","0.00","0","15915.93","14.89","16085.85","-29.76","15915.93","140.16","169.92","15901.04","15901.04","14.89","0","207308","20220517","17491.14","14310.94","0","30393","-1","0","2","239516"
"CreateOrUpdate","2022/05/17 18:43:38.166205","Update","2022/05/17 18:43:38.256637","0050","元大台灣50","000000","000000","000000.000000","124.35","10","1.35","1.10","124.30","20","124.35","130","123.15","0.15","124.50","-0.15","123.15","1.20","1.35","123.00","123.00","0.15","0","4157","20220517","135.30","110.70","0","0","-1","0","2","5705"
"CreateOrUpdate","2022/05/17 18:43:38.167538","Update","2022/05/17 18:43:38.256637","00632R","元大台灣50反1","000000","000000","000000.000000","5.67","92","-0.05","-0.87","5.66","17174","5.67","2601","5.70","-0.02","5.71","-0.04","5.66","0.01","0.05","5.72","5.72","-0.02","0","180508","20220517","6.29","5.15","0","17","-1","0","2","170301"
"CreateOrUpdate","2022/05/17 18:43:38.169517","Update","2022/05/18 04:57:36.588534","UN2206","那斯達克2206","000000","000000","000000.000000","12569.00","2","235.00","1.91","12565.00","2","12573.00","3","12349.00","15.00","12579.00","-10.00","12330.00","239.00","249.00","12334.00","12338.00","11.00","0","5313","20220518","13197.00","11471.00","0","4286","-1","2","2","4925"
"CreateOrUpdate","2022/05/17 18:43:38.171522","Update","2022/05/18 04:59:42.963564","TX07","台指07","000000","000000","000000.000000","15810.00","1","95.00","0.60","15821.00","1","15825.00","1","15731.00","16.00","15818.00","-8.00","15728.00","82.00","90.00","15715.00","0.00","0.00","0","65","20220518","17286.00","14144.00","0","4244","-1","2","2","172"
"CreateOrUpdate","2022/05/17 18:43:38.171522","Update","2022/05/18 04:59:56.588530","MTX07","小台07","000000","000000","000000.000000","15822.00","1","107.00","0.68","15820.00","5","15828.00","5","15730.00","15.00","15827.00","-5.00","15723.00","99.00","104.00","15715.00","0.00","0.00","0","845","20220518","17286.00","14144.00","0","4251","-1","2","2","1315"
"CreateOrUpdate","2022/05/17 18:43:38.187533","Update","2022/05/17 18:43:38.256637","2330","台積電","000000","000000","000000.000000","530.00","27","10.00","1.92","530.00","69","531.00","360","521.00","1.00","533.00","-3.00","520.00","10.00","13.00","520.00","520.00","1.00","0","24469","20220517","572.00","468.00","0","29548","-1","0","2","21133"
"CreateOrUpdate","2022/05/17 18:43:38.187533","Update","2022/05/18 04:59:20.836517","UD06","道瓊06","045901","169000","045901.169000","32630.00","1","400.00","1.24","32591.00","1","32629.00","1","32299.00","69.00","32687.00","-57.00","32250.00","380.00","437.00","32230.00","32230.00","69.00","0","3487","20220518","34486.00","29974.00","2669","4281","0","2","2","3505"
"CreateOrUpdate","2022/05/17 18:43:38.188883","Update","2022/05/18 04:59:58.374630","TX06","台指06","045959","073000","045959.073000","16137.00","2","108.00","0.67","16136.00","5","16138.00","5","16043.00","14.00","16140.00","-3.00","16034.00","103.00","106.00","16029.00","16025.00","18.00","0","12065","20220518","17631.00","14427.00","7529","4243","1","2","2","22564"
"CreateOrUpdate","2022/05/17 18:43:38.189530","Update","2022/05/18 04:59:58.718531","MTX06","小台06","045957","339000","045957.339000","16143.00","1","114.00","0.71","16141.00","1","16143.00","19","16041.00","12.00","16143.00","0.00","16034.00","109.00","109.00","16029.00","16027.00","14.00","0","27743","20220518","17631.00","14427.00","16923","4250","2","2","2","39328"
"CreateOrUpdate","2022/05/17 18:43:38.173531","Update","2022/05/18 04:58:59.624564","TXO15900F2","台選06C","000000","000000","000000.000000","460.00","1","49.00","11.92","426.00","1","499.00","1","412.00","1.00","464.00","-4.00","412.00","48.00","52.00","411.00","0.00","0.00","0","57","20220518","2010.00","0.10","0","7109","-1","3","2","129"
"CreateOrUpdate","2022/05/17 18:43:38.173531","Update","2022/05/18 04:58:59.622540","TXO16000F2","台選06C","000000","000000","000000.000000","412.00","1","64.00","18.39","395.00","1","420.00","1","352.00","4.00","415.00","-3.00","348.00","64.00","67.00","348.00","0.00","0.00","0","203","20220518","1950.00","0.10","0","7111","-1","3","2","510"
"CreateOrUpdate","2022/05/17 18:43:38.175359","Update","2022/05/18 04:59:40.391515","TXO16100F2","台選06C","000000","000000","000000.000000","345.00","1","60.00","21.05","340.00","1","369.00","2","297.00","12.00","345.00","0.00","289.00","56.00","56.00","285.00","0.00","0.00","0","424","20220518","1890.00","0.10","0","7113","-1","3","2","484"
"CreateOrUpdate","2022/05/17 18:43:38.176196","Update","2022/05/18 04:59:36.537745","TXO16200F2","台選06C","000000","000000","000000.000000","292.00","1","57.00","24.26","282.00","1","299.00","1","240.00","5.00","293.00","-1.00","238.00","54.00","55.00","235.00","0.00","0.00","0","551","20220518","1840.00","0.10","0","7115","-1","3","2","846"
"CreateOrUpdate","2022/05/17 18:43:38.177526","Update","2022/05/18 04:59:37.765560","TXO16300F2","台選06C","000000","000000","000000.000000","232.00","30","44.00","23.40","225.00","1","239.00","1","198.00","10.00","237.00","-5.00","189.00","43.00","48.00","188.00","0.00","0.00","0","636","20220518","1790.00","0.10","0","7117","-1","3","2","986"
"CreateOrUpdate","2022/05/17 18:43:38.177526","Update","2022/05/18 04:59:33.640963","TXO16400F2","台選06C","000000","000000","000000.000000","179.00","1","33.00","22.60","177.00","1","180.00","2","150.00","4.00","180.00","-1.00","147.00","32.00","33.00","146.00","0.00","0.00","0","620","20220518","1750.00","0.10","0","7119","-1","3","2","888"
"CreateOrUpdate","2022/05/17 18:43:38.178853","Update","2022/05/18 04:58:12.775566","TXO16500F2","台選06C","000000","000000","000000.000000","137.00","1","28.00","25.69","131.00","3","137.00","3","111.00","2.00","140.00","-3.00","111.00","26.00","29.00","109.00","0.00","0.00","0","1606","20220518","1710.00","0.10","0","7121","-1","3","2","1914"
"CreateOrUpdate","2022/05/17 18:43:38.179532","Update","2022/05/18 04:58:59.624564","TXO15900R2","台選06P","000000","000000","000000.000000","225.00","1","-57.00","-20.21","225.00","1","265.00","1","273.00","-9.00","274.00","-49.00","225.00","0.00","49.00","282.00","0.00","0.00","0","229","20220518","1880.00","0.10","0","7108","-1","3","2","227"
"CreateOrUpdate","2022/05/17 18:43:38.180892","Update","2022/05/18 04:59:28.641004","TXO16000R2","台選06P","000000","000000","000000.000000","260.00","1","-59.00","-18.50","261.00","1","285.00","1","309.00","-10.00","314.00","-54.00","260.00","0.00","54.00","319.00","0.00","0.00","0","753","20220518","1920.00","0.10","0","7110","-1","3","2","649"
"CreateOrUpdate","2022/05/17 18:43:38.181519","Update","2022/05/18 04:58:59.624564","TXO16100R2","台選06P","000000","000000","000000.000000","300.00","2","-58.00","-16.20","290.00","1","305.00","16","351.00","-7.00","356.00","-56.00","300.00","0.00","56.00","358.00","0.00","0.00","0","324","20220518","1960.00","0.10","0","7112","-1","3","2","193"
"CreateOrUpdate","2022/05/17 18:43:38.181519","Update","2022/05/18 04:59:48.015602","TXO16200R2","台選06P","000000","000000","000000.000000","343.00","1","-67.00","-16.34","331.00","1","343.00","1","396.00","-14.00","402.00","-59.00","328.00","15.00","74.00","410.00","0.00","0.00","0","152","20220518","2010.00","0.10","0","7114","-1","3","2","126"
"CreateOrUpdate","2022/05/17 18:43:38.184512","Update","2022/05/18 04:58:59.624564","TXO16300R2","台選06P","000000","000000","000000.000000","410.00","1","-52.00","-11.26","380.00","1","438.00","2","456.00","-6.00","456.00","-46.00","403.00","7.00","53.00","462.00","0.00","0.00","0","80","20220518","2060.00","0.10","0","7116","-1","3","2","101"
"CreateOrUpdate","2022/05/17 18:43:38.185513","Update","2022/05/18 04:58:59.625547","TXO16400R2","台選06P","000000","000000","000000.000000","472.00","1","-48.00","-9.23","405.00","2","444.00","1","500.00","-20.00","515.00","-43.00","458.00","14.00","57.00","520.00","0.00","0.00","0","33","20220518","2120.00","0.10","0","7118","-1","3","2","54"
"CreateOrUpdate","2022/05/17 18:43:38.186871","Update","2022/05/18 04:58:59.625547","TXO16500R2","台選06P","000000","000000","000000.000000","510.00","1","-70.00","-12.07","369.00","1","600.00","4","575.00","-5.00","575.00","-65.00","510.00","0.00","65.00","580.00","0.00","0.00","0","87","20220518","2180.00","0.10","0","7120","-1","3","2","42"
