更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,筆數,索引,Page,市場,小數位數,昨量
"m_SKQuoteLib_OnNotifyQuote","2022/09/30 14:55:14.963571","TSEA","加權指","000000","000000","000000.000000","13424.58","460","-109.68","-0.81","0.00","0","0.00","0","13409.65","-124.61","13466.82","-42.24","13274.72","149.86","192.10","13534.26","13534.26","-124.61","0","208394","20220930","14887.69","12180.83","0","26375","-1","0","2","213554"
"m_SKQuoteLib_OnNotifyQuote","2022/09/30 14:55:14.954569","0050","元大台灣50","000000","000000","000000.000000","103.45","116","-1.45","-1.38","103.40","143","103.45","25","103.30","-1.60","103.90","-0.45","103.00","0.45","0.90","104.90","104.90","-1.60","0","12586","20220930","115.35","94.45","0","0","-1","0","2","10321"
"m_SKQuoteLib_OnNotifyQuote","2022/09/30 14:55:14.955569","00632R","元大台灣50反1","000000","000000","000000.000000","6.38","342","0.06","0.95","6.38","15918","6.39","1516","6.42","0.10","6.43","-0.05","6.36","0.02","0.07","6.32","6.32","0.10","0","276347","20220930","6.95","5.69","0","16","-1","0","2","238035"
"m_SKQuoteLib_OnNotifyQuote","2022/10/01 04:59:57.055342","UN2212","那斯達克2212","000000","000000","000000.000000","11049.00","1","-208.00","-1.85","11048.00","1","11066.00","1","11289.00","32.00","11358.00","-309.00","11038.00","11.00","320.00","11257.00","11257.00","32.00","0","5110","20221003","12298.00","10690.00","0","4373","-1","2","2","537"
"m_SKQuoteLib_OnNotifyQuote","2022/10/01 04:59:58.431236","TX11","台指11","000000","000000","000000.000000","13288.00","1","-89.00","-0.67","13288.00","6","13293.00","1","13396.00","19.00","13448.00","-160.00","13288.00","0.00","160.00","13377.00","13373.00","23.00","0","1039","20221003","14857.00","12157.00","0","4321","-1","2","2","736"
"m_SKQuoteLib_OnNotifyQuote","2022/10/01 04:59:57.305557","MTX11","小台11","000000","000000","000000.000000","13285.00","2","-92.00","-0.69","13285.00","2","13292.00","6","13401.00","24.00","13443.00","-158.00","13285.00","0.00","158.00","13377.00","13376.00","25.00","0","6382","20221003","14857.00","12157.00","0","4328","-1","2","2","7053"
"m_SKQuoteLib_OnNotifyQuote","2022/09/30 14:55:14.955569","2330","台積電","000000","000000","000000.000000","422.00","170","-13.00","-2.99","422.00","1429","422.50","1","424.50","-10.50","427.50","-5.50","422.00","0.00","5.50","435.00","435.00","-10.50","0","48130","20220930","478.50","391.50","0","25528","-1","0","2","40986"
"m_SKQuoteLib_OnNotifyQuote","2022/10/01 04:59:57.180270","UD12","道瓊12","045900","659000","045900.659000","28822.00","1","-458.00","-1.56","28821.00","1","28840.00","1","29340.00","60.00","29550.00","-728.00","28800.00","22.00","750.00","29280.00","29280.00","60.00","0","3019","20221003","31739.00","27587.00","2456","4368","0","2","2","269"
"m_SKQuoteLib_OnNotifyQuote","2022/10/01 04:59:58.433237","TX10","台指10","045959","346000","045959.346000","13306.00","1","-88.00","-0.66","13306.00","6","13308.00","1","13420.00","26.00","13465.00","-159.00","13303.00","3.00","162.00","13394.00","13395.00","25.00","0","88677","20221003","14875.00","12171.00","42211","4320","1","2","2","120026"
"m_SKQuoteLib_OnNotifyQuote","2022/10/01 04:59:57.305557","MTX10","小台10","045958","062000","045958.062000","13302.00","2","-92.00","-0.69","13302.00","2","13306.00","6","13420.00","26.00","13466.00","-164.00","13300.00","2.00","166.00","13394.00","13397.00","23.00","0","166497","20221003","14875.00","12171.00","95357","4327","2","2","2","197883"
