建立者,時間,更新者,更新時,狀態索引,狀態描述,自定義唯一鍵,分公司,下單帳號,代碼,買賣索引,買賣描述,掛單索引,掛單描述,當沖索引,當沖描述,新倉平倉索引,新倉平倉描述,委託送出前的市場成交價,委託價設定,委託價觸發,委託量,停損設定,停損觸發,停利設定,停利價格,停利減倉,移動停利設定,移動停利價格,移動停利位移,移動停利減倉,13碼委託序號或錯誤訊息,成交價格,成交量,成交序號或錯誤訊息,已實現損益估計,未平倉量,未實現損益估計,停損後接續執行觸價,停損後接續執行策略,停利後接續執行觸價,停利後接續執行策略,停利後停止觸價,停利後停止策略,收盤獲利減倉量,收盤前幾秒獲利減倉,收盤損失減倉量,收盤前幾秒損失減倉,真實下單,註解
"ButtonSaveStrategyRule_Click","2022/04/28 10:51:10.136655","ParentCheck","2022/05/24 08:32:58.796478","0","等待中","S11","F000000","0123456","TX06","0","Buy","1","IOC","0","否","0","新倉","0.00","P","0.00","1","P-35","0.00","P+35(-0)","0.00","0","-30(-1)","0.00","-30.00","-1","","0.00","0","","0.00","0","0.00","","S12","01,02,03,04,05,06,07,08,09,10,11,12,13","","","","0","30","0","30","False",""
"ButtonSaveStrategyRule_Click","2022/04/28 10:51:10.136655","ParentCheck","2022/05/24 08:32:58.799856","0","等待中","S12","F000000","0123456","TX06","1","Sell","1","IOC","0","否","0","新倉","0.00","P","0.00","2","P+35","0.00","P-35(-1)","0.00","-1","+30(-1)","0.00","30.00","-1","","0.00","0","","0.00","0","0.00","","S13","01,02,03,04,05,06,07,08,09,10,11,12,13","","","","0","30","0","30","False",""
"ButtonSaveStrategyRule_Click","2022/04/28 10:51:10.136655","ParentCheck","2022/05/24 08:32:58.800487","0","等待中","S13","F000000","0123456","TX06","0","Buy","1","IOC","0","否","0","新倉","0.00","P","0.00","4","P-35","0.00","P+35(-3)","0.00","-3","-30(-1)","0.00","-30.00","-1","","0.00","0","","0.00","0","0.00","","S14","01,02,03,04,05,06,07,08,09,10,11,12,13","","","","0","30","0","30","False",""
"ButtonSaveStrategyRule_Click","2022/04/28 10:51:10.136655","ParentCheck","2022/05/24 08:32:58.802487","0","等待中","S14","F000000","0123456","TX06","1","Sell","1","IOC","0","否","0","新倉","0.00","P","0.00","8","P+35","0.00","P-35(-7)","0.00","-7","+30(-1)","0.00","30.00","-1","","0.00","0","","0.00","0","0.00","","S15","01,02,03,04,05,06,07,08,09,10,11,12,13","","","","0","30","0","30","False",""
"ButtonSaveStrategyRule_Click","2022/04/28 10:51:10.136655","ParentCheck","2022/05/24 08:32:58.805484","0","等待中","S15","F000000","0123456","TX06","0","Buy","1","IOC","0","否","0","新倉","0.00","P","0.00","16","P-35","0.00","P+35(-15)","0.00","-15","-30(-1)","0.00","-30.00","-1","","0.00","0","","0.00","0","0.00","","","01,02,03,04,05,06,07,08,09,10,11,12,13","","","","0","30","0","30","False",""
"ButtonSaveStrategyRule_Click","2022/04/28 23:54:26.725077","ParentCheck","2022/05/24 08:32:58.807492","0","等待中","S16","F000000","0123456","MTX06","1","Sell","1","IOC","0","否","0","新倉","0.00","P","0.00","1","P+35","0.00","P-35(-0)","0.00","0","+30(-1)","0.00","30.00","-1","","0.00","0","","0.00","0","0.00","","S17","01,02,03,04,05,06,07,08,09,10,11,12,13","","","","0","30","0","30","False",""
"ButtonSaveStrategyRule_Click","2022/04/28 23:56:00.952534","ParentCheck","2022/05/24 08:32:58.809469","0","等待中","S17","F000000","0123456","MTX06","0","Buy","1","IOC","0","否","0","新倉","0.00","P","0.00","2","P-35","0.00","P+35(-1)","0.00","-1","-30(-1)","0.00","-30.00","-1","","0.00","0","","0.00","0","0.00","","S18","01,02,03,04,05,06,07,08,09,10,11,12,13","","","","0","30","0","30","False",""
"ButtonSaveStrategyRule_Click","2022/04/28 23:57:13.452496","ParentCheck","2022/05/24 08:32:58.810521","0","等待中","S18","F000000","0123456","MTX06","1","Sell","1","IOC","0","否","0","新倉","0.00","P","0.00","4","P+35","0.00","P-35(-3)","0.00","-3","+30(-1)","0.00","30.00","-1","","0.00","0","","0.00","0","0.00","","S19","01,02,03,04,05,06,07,08,09,10,11,12,13","","","","0","30","0","30","False",""
"ButtonSaveStrategyRule_Click","2022/04/28 23:56:00.952534","ParentCheck","2022/05/24 08:32:58.813483","0","等待中","S19","F000000","0123456","MTX06","0","Buy","1","IOC","0","否","0","新倉","0.00","P","0.00","8","P-35","0.00","P+35(-7)","0.00","-7","-30(-1)","0.00","-30.00","-1","","0.00","0","","0.00","0","0.00","","S20","01,02,03,04,05,06,07,08,09,10,11,12,13","","","","0","30","0","30","False",""
"ButtonSaveStrategyRule_Click","2022/04/28 23:57:13.452496","ParentCheck","2022/05/24 08:32:58.815487","0","等待中","S20","F000000","0123456","MTX06","1","Sell","1","IOC","0","否","0","新倉","0.00","P","0.00","16","P+35","0.00","P-35(-15)","0.00","-15","+30(-1)","0.00","30.00","-1","","0.00","0","","0.00","0","0.00","","","01,02,03,04,05,06,07,08,09,10,11,12,13","","","","0","30","0","30","True",""
