建立者,時間,更新者,更新時,狀態索引,狀態描述,自定義唯一鍵,代碼1,欄位,屬性,欄位值,條件,目標值,代碼2設定,代碼2,觸價後取消其他觸價監控,觸價後啟動其他觸價監控,滿足單一條件即執行策略新倉,滿足全部條件再執行策略新倉,滿足單一條件即執行策略平倉,滿足全部條件再執行策略平倉,監控開始,監控結束,註解
"ButtonSaveTriggerRule_Click","2022/05/02 17:40:47.047443","AddRule","2022/05/19 23:07:05.297708","1","已取消","01","MTX06","漲跌","UpDown","0.00",">=","1000.00","","","01,02,03,04,05,06,07,08,09,10,11,12,13","","S11","","","","2022/05/19 08:45:10.000000","2022/05/19 13:44:00.000000","沒有在開盤前執行登入動作，不執行此監控"
"ButtonSaveTriggerRule_Click","2022/05/02 17:41:57.420729","AddRule","2022/05/19 23:07:05.300186","1","已取消","02","MTX06","漲跌","UpDown","0.00",">=","1000.00","","","01,02,03,04,05,06,07,08,09,10,11,12,13","","S11","","","","2022/05/19 15:00:10.000000","2022/05/20 04:59:00.000000","沒有在開盤前執行登入動作，不執行此監控"
"ButtonSaveTriggerRule_Click","2022/05/02 17:45:15.434550","AddRule","2022/05/19 23:07:05.300853","1","已取消","03","MTX06","開盤與前盤收盤價差","OpenLastCloseUpDown","0.00",">=","25.00","","","01,02,03,04,05,06,07,08,09,10,11,12,13","","S11","","","","2022/05/19 08:45:10.000000","2022/05/19 08:48:00.000000","沒有在開盤前執行登入動作，不執行此監控"
"ButtonSaveTriggerRule_Click","2022/05/02 17:46:09.640515","AddRule","2022/05/19 23:07:05.302856","1","已取消","04","MTX06","開盤與前盤收盤價差","OpenLastCloseUpDown","0.00",">=","25.00","","","01,02,03,04,05,06,07,08,09,10,11,12,13","","S11","","","","2022/05/19 15:00:10.000000","2022/05/19 15:03:00.000000","沒有在開盤前執行登入動作，不執行此監控"
"ButtonSaveTriggerRule_Click","2022/05/02 17:47:35.382320","AddRule","2022/05/19 23:07:05.304193","1","已取消","05","MTX06","成交最低價差","DealLow","0.00",">=","25.00","","","01,02,03,04,05,06,07,08,09,10,11,12,13","","S11","","","","2022/05/19 08:45:10.000000","2022/05/19 13:44:00.000000","沒有在開盤前執行登入動作，不執行此監控"
"ButtonSaveTriggerRule_Click","2022/05/02 17:48:29.772347","AddRule","2022/05/19 23:07:05.304759","1","已取消","06","MTX06","成交最低價差","DealLow","0.00",">=","25.00","","","01,02,03,04,05,06,07,08,09,10,11,12,13","","S11","","","","2022/05/19 15:00:10.000000","2022/05/20 04:59:00.000000","沒有在開盤前執行登入動作，不執行此監控"
"ButtonSaveTriggerRule_Click","2022/05/02 17:50:21.415419","AddRule","2022/05/19 23:07:05.306757","1","已取消","07","MTX06","開盤與前盤收盤價差","OpenLastCloseUpDown","0.00","<=","-25.00","","","01,02,03,04,05,06,07,08,09,10,11,12,13","","S21","","","","2022/05/19 08:45:10.000000","2022/05/19 08:48:00.000000","沒有在開盤前執行登入動作，不執行此監控"
"ButtonSaveTriggerRule_Click","2022/05/02 17:51:18.861593","AddRule","2022/05/19 23:07:05.308075","1","已取消","08","MTX06","開盤與前盤收盤價差","OpenLastCloseUpDown","0.00","<=","-25.00","","","01,02,03,04,05,06,07,08,09,10,11,12,13","","S21","","","","2022/05/19 15:00:10.000000","2022/05/19 15:03:00.000000","沒有在開盤前執行登入動作，不執行此監控"
"ButtonSaveTriggerRule_Click","2022/05/02 17:53:13.395443","AddRule","2022/05/19 23:07:05.310707","1","已取消","09","MTX06","成交最高價差","DealHigh","0.00","<=","-25.00","","","01,02,03,04,05,06,07,08,09,10,11,12,13","","S21","","","","2022/05/19 08:45:10.000000","2022/05/19 13:44:00.000000","沒有在開盤前執行登入動作，不執行此監控"
"ButtonSaveTriggerRule_Click","2022/05/02 17:53:43.860418","AddRule","2022/05/19 23:07:05.312189","1","已取消","10","MTX06","成交最高價差","DealHigh","0.00","<=","-25.00","","","01,02,03,04,05,06,07,08,09,10,11,12,13","","S21","","","","2022/05/19 15:00:10.000000","2022/05/20 04:59:00.000000","沒有在開盤前執行登入動作，不執行此監控"
"ButtonSaveTriggerRule_Click","2022/05/02 17:43:12.663186","AddRule","2022/05/19 23:07:05.313871","1","已取消","11","MTX06","成交價","DealPrice","0.00",">=","0.00","-5.00","TSEA","01,02,03,04,05,06,07,08,09,10,12","","","S11","","","","","沒有在開盤前執行登入動作，不執行此監控"
"ButtonSaveTriggerRule_Click","2022/05/02 17:43:12.663186","AddRule","2022/05/19 23:07:05.321934","1","已取消","12","MTX06","成交價","DealPrice","0.00","<=","0.00","-25.00","TSEA","01,02,03,04,05,06,07,08,09,10","11","","S11","","","","","沒有在開盤前執行登入動作，不執行此監控"
"ButtonSaveTriggerRule_Click","2022/05/02 17:47:35.382320","AddRule","2022/05/19 23:07:05.323807","1","已取消","13","MTX06","成交最低價差","DealLow","0.00",">=","25.00","","","01,02,03,04,05,06,07,08,09,10","","","S11","","","","","沒有在開盤前執行登入動作，不執行此監控"
