中華民國112年有價證券集中交易市場開（休）市日期表
名稱,日期,星期,說明,備註(* : 市場無交易，僅辦理結算交割作業。o : 交易日。)
"中華民國開國紀念日","1月1日","日","依規定放假1日。<br>1月1日適逢星期日，於1月2日（星期一）補假1日。",""
"中華民國開國紀念日","1月2日","一","依規定放假1日。<br>1月1日適逢星期日，於1月2日（星期一）補假1日。",""
"國曆新年開始交易日","1月3日","二","國曆新年開始交易。","o"
"農曆春節前最後交易日","1月17日","二","農曆春節前最後交易。<br>1月18日及1月19日市場無交易，僅辦理結算交割作業。","o"
"市場無交易，僅辦理結算交割作業","1月18日","三","","*"
"市場無交易，僅辦理結算交割作業","1月19日","四","","*"
"農曆除夕前一日","1月20日","五","1月20日（星期五）調整放假，於1月7日（星期六）補行上班，但不交易亦不交割。",""
"農曆除夕","1月21日","六","依規定放假1日。",""
"農曆春節","1月22日","日","依規定於1月22日至1月24日放假3日。<br><br>1月21日及1月22日適逢星期六及星期日，於1月25日（星期三）及1月26日（星期四）補假2日。<br>1月27日（星期五）調整放假，於2月4日（星期六）補行上班，但不交易亦不交割。",""
"農曆春節","1月23日","一","依規定於1月22日至1月24日放假3日。<br><br>1月21日及1月22日適逢星期六及星期日，於1月25日（星期三）及1月26日（星期四）補假2日。<br>1月27日（星期五）調整放假，於2月4日（星期六）補行上班，但不交易亦不交割。",""
"農曆春節","1月24日","二","依規定於1月22日至1月24日放假3日。<br><br>1月21日及1月22日適逢星期六及星期日，於1月25日（星期三）及1月26日（星期四）補假2日。<br>1月27日（星期五）調整放假，於2月4日（星期六）補行上班，但不交易亦不交割。",""
"農曆春節","1月25日","三","1月21日及1月22日適逢星期六及星期日，於1月25日（星期三）及1月26日（星期四）補假2日。<br>1月27日（星期五）調整放假，於2月4日（星期六）補行上班，但不交易亦不交割。",""
"農曆春節","1月26日","四","1月21日及1月22日適逢星期六及星期日，於1月25日（星期三）及1月26日（星期四）補假2日。<br>1月27日（星期五）調整放假，於2月4日（星期六）補行上班，但不交易亦不交割。",""
"農曆春節","1月27日","五","1月21日及1月22日適逢星期六及星期日，於1月25日（星期三）及1月26日（星期四）補假2日。<br>1月27日（星期五）調整放假，於2月4日（星期六）補行上班，但不交易亦不交割。",""
"農曆春節","1月27日","五","1月21日及1月22日適逢星期六及星期日，於1月25日（星期三）及1月26日（星期四）補假2日。<br>1月27日（星期五）調整放假，於2月4日（星期六）補行上班，但不交易亦不交割。",""
"農曆春節後開始交易日","1月30日","一","農曆春節後開始交易。","o"
"和平紀念日","2月27日","一","2月27日（星期一）調整放假，於2月18日（星期六）補行上班，但不交易亦不交割。<br>依規定放假1日。<br>",""
"和平紀念日","2月28日","二","2月27日（星期一）調整放假，於2月18日（星期六）補行上班，但不交易亦不交割。<br>依規定放假1日。<br>",""
"兒童節","4月3日","一","4月3日（星期一）調整放假，於3月25日（星期六）補行上班，但不交易亦不交割。<br>依規定放假1日。",""
"兒童節","4月4日","二","4月3日（星期一）調整放假，於3月25日（星期六）補行上班，但不交易亦不交割。<br>依規定放假1日。<br>",""
"民族掃墓節","4月5日","三","依規定放假1日。",""
"勞動節","5月1日","一","依規定放假1日。",""
"端午節","6月22日","四","依規定放假1日。<br>6月23日（星期五）調整放假，於6月17日（星期六）補行上班，但不交易亦不交割。<br>",""
"端午節","6月23日","五","依規定放假1日。<br>6月23日（星期五）調整放假，於6月17日（星期六）補行上班，但不交易亦不交割。<br>",""
"中秋節","9月29日","五","依規定放假1日。",""
"國慶日","10月9日","一","10月9日（星期一）調整放假，於9月23日（星期六）補行上班，但不交易亦不交割。<br>依規定放假1日。<br>",""
"國慶日","10月10日","二","10月9日（星期一）調整放假，於9月23日（星期六）補行上班，但不交易亦不交割。<br>依規定放假1日。",""
