中華民國113年有價證券集中交易市場開（休）市日期表
                日期,名稱,說明,備註(* : 市場無交易，僅辦理結算交割作業。o : 交易日。)
                "1月1日 (一)","中華民國開國紀念日","依規定放假1日。",""
"1月2日 (二)","國曆新年開始交易日","國曆新年開始交易。",""
"2月5日 (一)","農曆春節前最後交易日","農曆春節前最後交易。","*"
"2月6日 (二)","市場無交易，僅辦理結算交割作業","","*"
"2月7日 (三)","市場無交易，僅辦理結算交割作業","","*"
"2月8日 (四)","農曆除夕前一日","2月8日（星期四）調整放假，於2月17日（星期六）補行上班，但不交易亦不交割。",""
"2月9日 (五)","農曆除夕","依規定放假1日。",""
"2月10日 (六)","農曆春節","依規定於2月10日至2月12日放假3日。<br><br>2月10日及2月11日適逢星期六及星期日，於2月13日（星期二）及2月14日（星期三）補假2日。<br>",""
"2月11日 (日)","農曆春節","依規定於2月10日至2月12日放假3日。<br><br>2月10日及2月11日適逢星期六及星期日，於2月13日（星期二）及2月14日（星期三）補假2日。<br>",""
"2月12日 (一)","農曆春節","依規定於2月10日至2月12日放假3日。<br><br>2月10日及2月11日適逢星期六及星期日，於2月13日（星期二）及2月14日（星期三）補假2日。<br>",""
"2月13日 (二)","農曆春節","依規定於2月10日至2月12日放假3日。<br><br>2月10日及2月11日適逢星期六及星期日，於2月13日（星期二）及2月14日（星期三）補假2日。<br>",""
"2月14日 (三)","農曆春節","依規定於2月10日至2月12日放假3日。<br><br>2月10日及2月11日適逢星期六及星期日，於2月13日（星期二）及2月14日（星期三）補假2日。<br>",""
"2月15日 (四)","農曆春節後開始交易日","農曆春節後開始交易。",""
"2月28日 (三)","和平紀念日","依規定放假1日。",""
"4月4日 (四)","兒童節","依規定放假1日。",""
"4月5日 (五)","民族掃墓節","依規定放假1日。",""
"5月1日 (三)","勞動節","依規定放假1日。",""
"6月10日 (一)","端午節","依規定放假1日。",""
"9月17日 (二)","中秋節","依規定放假1日。",""
"10月10日 (四)","國慶日","依規定放假1日。",""
