"中華民國114年有價證券集中交易市場開（休）市日期表"
"日期","名稱","說明","備註(* : 市場無交易，僅辦理結算交割作業。o : 交易日。)"
"1月1日 (三)","中華民國開國紀念日","依規定放假1日。",""
"1月2日 (四)","國曆新年開始交易日","國曆新年開始交易。","o"
"1月22日 (三)","農曆春節前最後交易日","農曆春節前最後交易。","o"
"1月23日 (四)","市場無交易，僅辦理結算交割作業","","*"
"1月24日 (五)","市場無交易，僅辦理結算交割作業","","*"
"1月27日 (一)","農曆除夕前一日","1月27日（星期一）調整放假，於2月8日（星期六）補行上班，但不交易亦不交割。",""
"1月28日 (二)","農曆除夕","依規定放假1日。",""
"1月29日 (三)","農曆春節","依規定於1月29日至1月31日放假3日。",""
"1月30日 (四)","農曆春節","依規定於1月29日至1月31日放假3日。",""
"1月31日 (五)","農曆春節","依規定於1月29日至1月31日放假3日。",""
"2月3日 (一)","農曆春節後開始交易日","農曆春節後開始交易。","o"
"2月28日 (五)","和平紀念日","依規定放假1日。",""
"4月3日 (四)","兒童節及民族掃墓節","兒童節與民族掃墓節為4月4日（星期五），依規定於前一日4月3日（星期四）放假。",""
"4月4日 (五)","兒童節及民族掃墓節","依規定放假1日。",""
"5月1日 (四)","勞動節","依規定放假1日。",""
"5月30日 (五)","端午節","端午節為5月31日適逢星期六，依規定於前一日5月30日（星期五）補假。",""
"5月31日 (六)","端午節","依規定放假1日。",""
"10月6日 (一)","中秋節","依規定放假1日。",""
"10月10日 (五)","國慶日","依規定放假1日。",""
